pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2021-07-24 02:04:00,2021-07-24 02:38:02,18.48,0.0,-73.78653298334973,40.64698489239515,-73.94575026755157,40.79001075149546,20.808227943577485
2021-07-02 16:33:26,2021-07-02 16:42:35,1.34,2.46,-73.98405213268919,40.73682405761897,-73.99738026020042,40.72834039137229,1.4666515841273606
2021-07-07 18:28:34,2021-07-07 18:40:52,1.77,1.2,-73.98515639467682,40.74857462935672,-73.98593745682462,40.727620195909545,2.330955782362293
2021-07-22 16:18:06,2021-07-22 16:37:20,2.9,3.75,-73.99738026020042,40.72834039137229,-73.9723559435203,40.75668765218883,3.792116501368804
2021-07-10 20:39:57,2021-07-10 20:54:52,3.89,3.66,-73.97849159965224,40.7477457936439,-73.94889145447938,40.74537943399853,2.507412111008722
2021-07-19 23:26:02,2021-07-19 23:52:32,11.44,0.0,-73.97849159965224,40.7477457936439,-73.94139910573641,40.841708771119784,10.904808138602547
2021-07-19 22:56:16,2021-07-19 23:09:49,2.63,3.16,-73.97863194845081,40.783961430313774,-73.95473878380504,40.765484087889845,2.8756331316108534
2021-07-31 17:55:54,2021-07-31 18:10:36,1.55,2.0,-73.99045782354732,40.74033744175701,-73.98593745682462,40.727620195909545,1.464488254507038
2021-07-01 09:05:03,2021-07-01 09:24:29,3.19,5.34,-73.96563453538072,40.76861518381155,-73.99991742024712,40.74842755506572,3.657429054727552
2021-07-07 20:14:12,2021-07-07 20:24:12,2.27,1.33,-73.98984464313301,40.762252755319366,-73.97304890061595,40.79170493442709,3.5672542795914493
2021-07-27 18:23:34,2021-07-27 18:30:24,0.88,2.06,-73.96555356545916,40.78247809974789,-73.98764554944388,40.775965228760995,1.996154218933258
2021-07-16 16:06:51,2021-07-16 16:13:57,0.81,1.96,-73.98764554944388,40.775965228760995,-73.97863194845081,40.783961430313774,1.1689972088363492
2021-07-04 20:54:55,2021-07-04 21:26:51,3.55,0.0,-73.99089626184735,40.71893835938027,-73.97769793122406,40.75802804352625,4.486560120698048
2021-07-12 06:35:50,2021-07-12 06:41:15,1.59,0.0,-73.96816833309238,40.79796199310004,-73.95701169835739,40.78043643718997,2.16329174683527
2021-07-22 22:23:49,2021-07-22 22:36:12,2.21,3.58,-74.01302277174902,40.70913894067186,-73.98593745682462,40.727620195909545,3.0714402996133354
2021-07-15 16:21:20,2021-07-15 16:33:32,1.55,2.07,-73.96555356545916,40.78247809974789,-73.98984464313301,40.762252755319366,3.040063819122822
2021-07-31 16:54:23,2021-07-31 17:07:57,3.0,3.05,-73.96563453538072,40.76861518381155,-73.96816833309238,40.79796199310004,3.270182239860723
2021-07-29 19:51:27,2021-07-29 20:13:32,10.66,0.0,-73.89018328872034,40.867682456075414,-73.95129200243511,40.80433394979461,8.720550370121671
2021-07-27 11:19:44,2021-07-27 11:37:17,2.97,3.36,-73.96555356545916,40.78247809974789,-73.98405213268919,40.73682405761897,5.3102103014233935
